title,university,form,link,category
Strategic Management and Innovation,Copenhagen Business School,specialization,https://www.coursera.org/specializations/strategic-management,business/leadership-and-management
International Leadership and Organizational Behavior,Università Bocconi,course,https://www.coursera.org/learn/organizational-behavior,business/leadership-and-management
Budgeting and Scheduling Projects,"University of California, Irvine",course,https://www.coursera.org/learn/schedule-projects,business/leadership-and-management
Inspiring Leadership through Emotional Intelligence,Case Western Reserve University,course,https://www.coursera.org/learn/emotional-intelligence-leadership,business/leadership-and-management
Business Strategies for A Better World,University of Pennsylvania,specialization,https://www.coursera.org/specializations/wharton-global-business-strategy,business/leadership-and-management
Inspirational Leadership: Leading with Sense,HEC Paris,specialization,https://www.coursera.org/specializations/inspirational-leadership,business/leadership-and-management
Culture-Driven Team Building,University of Pennsylvania,specialization,https://www.coursera.org/specializations/team-building,business/leadership-and-management
Business Writing,University of Colorado Boulder,course,https://www.coursera.org/learn/writing-for-business,business/leadership-and-management
International Organizations Management,University of Geneva,course,https://www.coursera.org/learn/international-organizations-management,business/leadership-and-management
Introduction to Economic Theories,Erasmus University Rotterdam,course,https://www.coursera.org/learn/intro-economic-theories,business/leadership-and-management
Personality Types at Work,University of Florida,course,https://www.coursera.org/learn/personality-types-at-work,business/leadership-and-management
Managing Project Risks and Changes,"University of California, Irvine",course,https://www.coursera.org/learn/project-risk-management,business/leadership-and-management
Organizational Analysis,Stanford University,course,https://www.coursera.org/learn/organizational-analysis,business/leadership-and-management
Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,course,https://www.coursera.org/learn/uva-darden-project-management-es,business/leadership-and-management
Building Your Leadership Skills,HEC Paris,course,https://www.coursera.org/learn/leadership-skills,business/leadership-and-management
Strategic Management,Copenhagen Business School,course,https://www.coursera.org/learn/strategic-management,business/leadership-and-management
Storytelling and influencing: Communicate with impact,Macquarie University,course,https://www.coursera.org/learn/communicate-with-impact,business/leadership-and-management
Social Impact Strategy: Tools for Entrepreneurs and Innovators,University of Pennsylvania,course,https://www.coursera.org/learn/social-impact,business/leadership-and-management
Marketing Digital,Universidad Austral,specialization,https://www.coursera.org/specializations/marketing-digital,business/leadership-and-management
Agile и Scrum в работе над проектами и продуктами,National Research Tomsk State University,course,https://www.coursera.org/learn/upravleniya-proektami-agile-scrum,business/leadership-and-management
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,The University of Sydney,course,https://www.coursera.org/learn/design-strategy,business/leadership-and-management
Engineering Project Management: Initiating and Planning,Rice University,course,https://www.coursera.org/learn/initiating-planning,business/leadership-and-management
Music Business,Berklee College of Music,specialization,https://www.coursera.org/specializations/music-business,business/leadership-and-management
Leading the Life You Want,University of Pennsylvania,course,https://www.coursera.org/learn/leading-the-life-you-want,business/leadership-and-management
Administración de Proyectos: Principios Básicos,"University of California, Irvine",specialization,https://www.coursera.org/specializations/administracion-proyectos,business/leadership-and-management
Coaching Skills for Managers,"University of California, Davis",specialization,https://www.coursera.org/specializations/coaching-skills-manager,business/leadership-and-management
Leadership in 21st Century Organizations,Copenhagen Business School,course,https://www.coursera.org/learn/leadership-21st-century,business/leadership-and-management
Inove na gestão de equipes e negócios: O crescimento da empresa,Universidade de São Paulo,course,https://www.coursera.org/learn/gestao-equipes-negocios,business/leadership-and-management
Leading: Human Resource Management and Leadership,Macquarie University,specialization,https://www.coursera.org/specializations/hr-management-leadership,business/leadership-and-management
Liderazgo efectivo para el siglo XXI,Universidad de los Andes,specialization,https://www.coursera.org/specializations/liderazgo-efectivo,business/leadership-and-management
Designing the Organization,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/designing-organization,business/leadership-and-management
