title,university,form,link,category
Introducción a la Contabilidad Financiera,IESE Business School,course,https://www.coursera.org/learn/contabilidad-financiera,business/finance
Introdução à Análise Macroeconômica,Universidade de São Paulo,course,https://www.coursera.org/learn/introducao-analise-macroeconomica,business/finance
Financial Acumen for Non-Financial Managers,University of Pennsylvania,course,https://www.coursera.org/learn/finance-healthcare-managers,business/finance
La Disrupción del Blockchain,Universidad Austral,course,https://www.coursera.org/learn/blockchain-espanol,business/finance
Financing and Investing in Infrastructure,Università Bocconi,course,https://www.coursera.org/learn/infrastructure-investing,business/finance
Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,HEC Paris,course,https://www.coursera.org/learn/investment-management,business/finance
Auditing I: Conceptual Foundations of Auditing,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/auditing-part1-conceptual-foundations,business/finance
The Future of Payment Technologies,University of Michigan,course,https://www.coursera.org/learn/paytech,business/finance
More Introduction to Financial Accounting,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-financial-accounting,business/finance
Ценные бумаги: правовое регулирование,National Research University Higher School of Economics,course,https://www.coursera.org/learn/cennye-bumagi-pravovoe-regulirovanie,business/finance
Investments I: Fundamentals of Performance Evaluation,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/investments-fundamentals,business/finance
Startup Valuation Methods,Duke University,course,https://www.coursera.org/learn/startup-valuation-methods,business/finance
Инвестиции в акции,National Research University Higher School of Economics,course,https://www.coursera.org/learn/investicii-akcii,business/finance
Банковское дело и финансы,Sberbank Corporate University,course,https://www.coursera.org/learn/bankovskoye-delo-finansy,business/finance
Healthcare Marketplace,University of Minnesota,specialization,https://www.coursera.org/specializations/healthcare-marketplace,business/finance
Using Machine Learning in Trading and Finance,New York Institute of Finance,course,https://www.coursera.org/learn/machine-learning-trading-finance,business/finance
Managerial Accounting Fundamentals,University of Virginia,course,https://www.coursera.org/learn/uva-darden-managerial-accounting,business/finance
Firm Level Economics: Consumer and Producer Behavior,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/firm-level-economics,business/finance
Bonds & Stocks,University of Michigan,course,https://www.coursera.org/learn/bonds-and-stocks,business/finance
Understanding Financial Statements: Company Position,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/financial-statements,business/finance
