title,university,form,link,category
Psychology of Popularity,The University of North Carolina at Chapel Hill,course,https://www.coursera.org/learn/popularity,life-sciences/psychology
Gender and Sexuality: Diversity and Inclusion in the Workplace,University of Pittsburgh,course,https://www.coursera.org/learn/gender-sexuality,life-sciences/psychology
The Brain and Space,Duke University,course,https://www.coursera.org/learn/human-brain,life-sciences/psychology
Major Depression in the Population: A Public Health Approach,Johns Hopkins University,course,https://www.coursera.org/learn/public-health-depression,life-sciences/psychology
Учимся понимать ребёнка: руководство для взрослых,Novosibirsk State University,course,https://www.coursera.org/learn/ponimat-rebenka,life-sciences/psychology
Resilience Skills in a Time of Uncertainty,University of Pennsylvania,course,https://www.coursera.org/learn/resilience-uncertainty,life-sciences/psychology
Health Behavior Change: From Evidence to Action,Yale University,course,https://www.coursera.org/learn/health-behavior-change,life-sciences/psychology
Управление человеческими ресурсами,Peter the Great St. Petersburg Polytechnic University,course,https://www.coursera.org/learn/upravleniye-chelovecheskimi-resursami,life-sciences/psychology
Global Impact: Cultural Psychology,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/cultural-psychology-globalization,life-sciences/psychology
Docencia para la capacitación laboral y el aprendizaje a lo largo de la vida.,Universidad de Chile,course,https://www.coursera.org/learn/docencia-capacitacion-laboral,life-sciences/psychology
"Positive Psychology: Character, Grit and Research Methods",University of Pennsylvania,course,https://www.coursera.org/learn/positive-psychology-methods,life-sciences/psychology
Psychodiagnostics and Psychological Assessment,National Research Tomsk State University,course,https://www.coursera.org/learn/psychodiagnostics,life-sciences/psychology
Positive Psychology Specialization Project: Design Your Life for Well-being,University of Pennsylvania,course,https://www.coursera.org/learn/positive-psychology-project,life-sciences/psychology
The Bilingual Brain,University of Houston System,course,https://www.coursera.org/learn/bilingual,life-sciences/psychology
Introduction to Human Behavioral Genetics,University of Minnesota,course,https://www.coursera.org/learn/behavioralgenetics,life-sciences/psychology
Actúa ante el dolor crónico,Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/actua-dolor-cronico,life-sciences/psychology
Introduction to Integrative Therapies and Healing Practices,University of Minnesota,course,https://www.coursera.org/learn/integrative-therapies-and-healing-practices,life-sciences/psychology
How Music Can Change Your Life,The University of Melbourne,course,https://www.coursera.org/learn/music-life,life-sciences/psychology
Tu consultorio de Coaching en las ondas,Universitat Autònoma de Barcelona,course,https://www.coursera.org/learn/coaching-en-las-ondas,life-sciences/psychology
Зоопсихология,National Research Tomsk State University,course,https://www.coursera.org/learn/zoopsikhologiya,life-sciences/psychology
Психология межгрупповых отношений,National Research University Higher School of Economics,course,https://www.coursera.org/learn/psikhologiya-mejgruppovykh-otnoshenii,life-sciences/psychology
Children Acquiring Literacy Naturally,"University of California, Santa Cruz",course,https://www.coursera.org/learn/children-literacy,life-sciences/psychology
Психология призвания,National Research Tomsk State University,course,https://www.coursera.org/learn/psykhologiya-prizvaniya,life-sciences/psychology
Population Health: Health & Health Behaviour,Universiteit Leiden,course,https://www.coursera.org/learn/population-health-behaviour,life-sciences/psychology
Психотехнологии работы с персоналом (Psychotechnologies of personnel management),Saint Petersburg State University,course,https://www.coursera.org/learn/psikhotekhnologii-raboty,life-sciences/psychology
"Social Norms, Social Change II",University of Pennsylvania,course,https://www.coursera.org/learn/change,life-sciences/psychology
Методологические проблемы психологии,Saint Petersburg State University,course,https://www.coursera.org/learn/metodologicheskiye-problemy-psikhologii,life-sciences/psychology
Управление людьми и командами,Saint Petersburg State University,course,https://www.coursera.org/learn/upravlenie-lyudmi-komandami,life-sciences/psychology
Математические методы в психологии. Основы применения (Mathematical Methods in Psychology: Basics of Applying),Saint Petersburg State University,course,https://www.coursera.org/learn/matematicheskiye-metody-v-psikhologii,life-sciences/psychology
Questionnaire Design for Social Surveys,University of Michigan,course,https://www.coursera.org/learn/questionnaire-design,life-sciences/psychology
Unethical Decision Making in Organizations,University of Lausanne,course,https://www.coursera.org/learn/unethical-decision-making,life-sciences/psychology
Reason and Persuasion: Thinking Through Three Dialogues By Plato,National University of Singapore,course,https://www.coursera.org/learn/plato-dialogues,life-sciences/psychology
"Основы поиска дела жизни. Часть 2. Что скрывается за вопросом ""Как найти себя?""",National Research Nuclear University MEPhI,course,https://www.coursera.org/learn/kak-naiti-sebya,life-sciences/psychology
Здоровье семьи: загадки родословной,National Research Tomsk State University,course,https://www.coursera.org/learn/zdorovye-semi-zagadki-rodoslovnoy,life-sciences/psychology
"Journalism, the future, and you!",Michigan State University,course,https://www.coursera.org/learn/international-journalism,life-sciences/psychology
التحضير لإدارة الموارد البشرية,University of Minnesota,course,https://www.coursera.org/learn/managing-human-resources-ar,life-sciences/psychology
Инструменты позитивной психологии в менеджменте. Курс для руководителей,Saint Petersburg State University,course,https://www.coursera.org/learn/instrumenty-pozitivnoy-psikhologii-menedzhmente,life-sciences/psychology
Психология карьеры,Saint Petersburg State University,course,https://www.coursera.org/learn/psikhologiya-karyery,life-sciences/psychology
"Психология труда, инженерная психология и эргономика",National Research Tomsk State University,course,https://www.coursera.org/learn/psykhologiya-truda,life-sciences/psychology
Статистические методы в гуманитарных исследованиях,National Research Tomsk State University,course,https://www.coursera.org/learn/statistics-for-humanities,life-sciences/psychology
מבוא למדעי הפסיכולוגיה - Introduction to Psychological Science,Tel Aviv University,course,https://www.coursera.org/learn/psychology-science-intro,life-sciences/psychology
