title,university,form,link,category
The Business of Health Care,University of Pennsylvania,specialization,https://www.coursera.org/specializations/healthcare-administration-management,business/business-essentials
Influencing People,University of Michigan,course,https://www.coursera.org/learn/influencing-people,business/business-essentials
Getting Started with Google Sheets,Google Cloud,course,https://www.coursera.org/learn/getting-started-with-google-sheets,business/business-essentials
Lesson | Small Talk & Conversational Vocabulary,Georgia Institute of Technology,course,https://www.coursera.org/learn/lesson-small-talk-and-conversational-vocabulary,business/business-essentials
Six Sigma Principles,University System of Georgia,course,https://www.coursera.org/learn/six-sigma-principles,business/business-essentials
Business English,Arizona State University,specialization,https://www.coursera.org/specializations/english-for-business,business/business-essentials
Corporate Finance Essentials,IESE Business School,course,https://www.coursera.org/learn/corporate-finance-essentials,business/business-essentials
Искусство ведения бизнеса,Saint Petersburg State University,specialization,https://www.coursera.org/specializations/iskusstvo-vedeniya-biznesa,business/business-essentials
Effective Problem-Solving and Decision-Making,"University of California, Irvine",course,https://www.coursera.org/learn/problem-solving,business/business-essentials
Design and Make Infographics (Project-Centered Course),Michigan State University,course,https://www.coursera.org/learn/infographic-design,business/business-essentials
"Recruiting, Hiring, and Onboarding Employees",University of Minnesota,course,https://www.coursera.org/learn/recruiting-hiring-onboarding-employees,business/business-essentials
Marketing e vendas B2B: Fechando novos negócios,Universidade de São Paulo,course,https://www.coursera.org/learn/marketing-vendas-b2b,business/business-essentials
Criação de Startups: Como desenvolver negócios inovadores,Universidade de São Paulo,course,https://www.coursera.org/learn/criacao-startups,business/business-essentials
Advanced Business Analytics,University of Colorado Boulder,specialization,https://www.coursera.org/specializations/data-analytics-business,business/business-essentials
Investment and Portfolio Management,Rice University,specialization,https://www.coursera.org/specializations/investment-portolio-management,business/business-essentials
Effective Business Presentations with Powerpoint,PwC,course,https://www.coursera.org/learn/powerpoint-presentations,business/business-essentials
Regulatory Compliance,University of Pennsylvania,specialization,https://www.coursera.org/specializations/regulatory-compliance,business/business-essentials
Culture-Driven Team Building,University of Pennsylvania,specialization,https://www.coursera.org/specializations/team-building,business/business-essentials
Business Writing,University of Colorado Boulder,course,https://www.coursera.org/learn/writing-for-business,business/business-essentials
Supply Chain Principles,Georgia Institute of Technology,course,https://www.coursera.org/learn/supply-chain-principles,business/business-essentials
Data Visualization with Advanced Excel,PwC,course,https://www.coursera.org/learn/advanced-excel,business/business-essentials
Six Sigma Green Belt,University System of Georgia,specialization,https://www.coursera.org/specializations/six-sigma-green-belt,business/business-essentials
Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,course,https://www.coursera.org/learn/uva-darden-project-management-es,business/business-essentials
Customer Segmentation and Prospecting,Northwestern University,course,https://www.coursera.org/learn/customer-segmentation-prospecting,business/business-essentials
Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,course,https://www.coursera.org/learn/wharton-launching-startup,business/business-essentials
Storytelling and influencing: Communicate with impact,Macquarie University,course,https://www.coursera.org/learn/communicate-with-impact,business/business-essentials
"FinTech: Foundations, Payments, and Regulations",University of Pennsylvania,course,https://www.coursera.org/learn/wharton-fintech-overview-payments-regulations,business/business-essentials
Introduction to Data Analytics for Business,University of Colorado Boulder,course,https://www.coursera.org/learn/data-analytics-business,business/business-essentials
Futures Thinking,Institute for the Future,specialization,https://www.coursera.org/specializations/futures-thinking,business/business-essentials
Microeconomics: The Power of Markets,University of Pennsylvania,course,https://www.coursera.org/learn/microeconomics-part1,business/business-essentials
Business English: Basics,The Hong Kong University of Science and Technology,course,https://www.coursera.org/learn/business-english,business/business-essentials
Administración de Proyectos: Principios Básicos,"University of California, Irvine",specialization,https://www.coursera.org/specializations/administracion-proyectos,business/business-essentials
Supply Chain Operations,Rutgers the State University of New Jersey,course,https://www.coursera.org/learn/operations,business/business-essentials
Exploring and Producing Data for Business Decision Making,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/business-data,business/business-essentials
Financial Technology (Fintech) Innovations,University of Michigan,specialization,https://www.coursera.org/specializations/financialtechnology,business/business-essentials
Introduction to Blockchain Technologies,INSEAD,course,https://www.coursera.org/learn/introduction-blockchain-technologies,business/business-essentials
Fundamentals of Accounting,University of Illinois at Urbana-Champaign,specialization,https://www.coursera.org/specializations/accounting-fundamentals,business/business-essentials
Writing Professional Email and Memos (Project-Centered Course),University System of Georgia,course,https://www.coursera.org/learn/professional-emails,business/business-essentials
Process Mining: Data science in Action,Eindhoven University of Technology,course,https://www.coursera.org/learn/process-mining,business/business-essentials
Communication in the 21st Century Workplace,"University of California, Irvine",course,https://www.coursera.org/learn/communication-in-the-workplace,business/business-essentials
Lesson | Business English Skills: How to Write Effective Openings and Closings to Emails,University of Washington,course,https://www.coursera.org/learn/lesson-business-english-skills-how-to-write-effective-openings-and-closings-to-emails,business/business-essentials
Практики анализа экономических данных от простого к сложному,Saint Petersburg State University,specialization,https://www.coursera.org/specializations/analiz-ekonomicheskikh-dannykh,business/business-essentials
Lesson | Express Yourself: Pronunciation,Georgia Institute of Technology,course,https://www.coursera.org/learn/lesson-express-yourself-pronunciation,business/business-essentials
High-Impact Business Writing,"University of California, Irvine",course,https://www.coursera.org/learn/business-writing,business/business-essentials
Data Analytics for Lean Six Sigma,University of Amsterdam,course,https://www.coursera.org/learn/data-analytics-for-lean-six-sigma,business/business-essentials
Graphic Design,University of Colorado Boulder,course,https://www.coursera.org/learn/presentation-design,business/business-essentials
Supply Chain Analytics,Rutgers the State University of New Jersey,course,https://www.coursera.org/learn/supply-chain-analytics,business/business-essentials
International Business Essentials,University of London,specialization,https://www.coursera.org/specializations/mba,business/business-essentials
The Art of Negotiation,"University of California, Irvine",course,https://www.coursera.org/learn/art-of-negotiation,business/business-essentials
Interviewing and Resume Writing in English,"University of Maryland, College Park",specialization,https://www.coursera.org/specializations/english-interview-resume,business/business-essentials
Introducción a la Contabilidad Financiera,IESE Business School,course,https://www.coursera.org/learn/contabilidad-financiera,business/business-essentials
Entrepreneurship 3: Growth Strategies,University of Pennsylvania,course,https://www.coursera.org/learn/growth-strategy,business/business-essentials
Financial Acumen for Non-Financial Managers,University of Pennsylvania,course,https://www.coursera.org/learn/finance-healthcare-managers,business/business-essentials
Essential Design Principles for Tableau,"University of California, Davis",course,https://www.coursera.org/learn/dataviz-design,business/business-essentials
Negociações de sucesso: estratégias e habilidades essenciais (em Português),University of Michigan,course,https://www.coursera.org/learn/negociacao,business/business-essentials
مقدمة عن التفاوض: دليل استراتيجي لتصبح مُفاوضًا ذا مبادئ ومُقنعًا,Yale University,course,https://www.coursera.org/learn/negotiation-ar,business/business-essentials
Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,HEC Paris,course,https://www.coursera.org/learn/investment-management,business/business-essentials
"Ready, Set, Future! Introduction to Futures Thinking",Institute for the Future,course,https://www.coursera.org/learn/introduction-to-futures-thinking,business/business-essentials
Auditing I: Conceptual Foundations of Auditing,University of Illinois at Urbana-Champaign,course,https://www.coursera.org/learn/auditing-part1-conceptual-foundations,business/business-essentials
