title,university,form,link,category
General Pathophysiology,Saint Petersburg State University,course,https://www.coursera.org/learn/pathophysiology,life-sciences/basic-science
Sustainable Tourism – promoting environmental public health,University of Copenhagen,course,https://www.coursera.org/learn/sustainable-tourism,life-sciences/basic-science
Discover Best Practice Farming for a Sustainable 2050,University of Western Australia,course,https://www.coursera.org/learn/best-practice-farming-sustainable-2050,life-sciences/basic-science
Biochemical Principles of Energy Metabolism,Korea Advanced Institute of Science and Technology(KAIST),course,https://www.coursera.org/learn/energy-metabolism,life-sciences/basic-science
The Brain and Space,Duke University,course,https://www.coursera.org/learn/human-brain,life-sciences/basic-science
Introduction to Algae,University of California San Diego,course,https://www.coursera.org/learn/algae,life-sciences/basic-science
Conceptos base para el estudio del medio ambiente,Universidad Austral,course,https://www.coursera.org/learn/conceptos-estudio-del-medio-ambiente,life-sciences/basic-science
Genes and the Human Condition (From Behavior to Biotechnology),"University of Maryland, College Park",course,https://www.coursera.org/learn/genes,life-sciences/basic-science
DNA Decoded,McMaster University,course,https://www.coursera.org/learn/dna-decoded,life-sciences/basic-science
Clinical Epidemiology,Utrecht University,course,https://www.coursera.org/learn/clinical-epidemiology,life-sciences/basic-science
Введение в физиологию (Introduction to physiology),Saint Petersburg State University,course,https://www.coursera.org/learn/vvedeniye-fiziologiyu,life-sciences/basic-science
Understanding Plants - Part II: Fundamentals of Plant Biology,Tel Aviv University,course,https://www.coursera.org/learn/plant-biology,life-sciences/basic-science
From Disease to Genes and Back,Novosibirsk State University,course,https://www.coursera.org/learn/disease-genes,life-sciences/basic-science
Introduction to Systems Biology,Icahn School of Medicine at Mount Sinai,course,https://www.coursera.org/learn/systems-biology,life-sciences/basic-science
"Origins - Formation of the Universe, Solar System, Earth and Life",University of Copenhagen,course,https://www.coursera.org/learn/origins-universe-solarsystem,life-sciences/basic-science
Paleontology: Ancient Marine Reptiles,University of Alberta,course,https://www.coursera.org/learn/ancient-marine-reptiles,life-sciences/basic-science
Fundamentals of Immunology: T Cells and Signaling,Rice University,course,https://www.coursera.org/learn/immunologyfundamentalstcellssignaling,life-sciences/basic-science
Introduction to Reproduction,Northwestern University,course,https://www.coursera.org/learn/reproductive-health,life-sciences/basic-science
Расстройства аутистического спектра,Saint Petersburg State University,course,https://www.coursera.org/learn/rasstrojstva-autisticheskogo-spektra,life-sciences/basic-science
"Tropical Parasitology: Protozoans, Worms, Vectors and Human Diseases",Duke University,course,https://www.coursera.org/learn/parasitology,life-sciences/basic-science
Materials in Oral Health,The University of Hong Kong,course,https://www.coursera.org/learn/materials-oral-health,life-sciences/basic-science
Organ Donation: From Death to Life,University of Cape Town,course,https://www.coursera.org/learn/organ-donation,life-sciences/basic-science
