title,university,form,link,category
Ruby on Rails: An Introduction,Johns Hopkins University,course,https://www.coursera.org/learn/ruby-on-rails-intro,computer-science/mobile-and-web-development
Создание Web-сервисов на Python,Moscow Institute of Physics and Technology,course,https://www.coursera.org/learn/python-for-web,computer-science/mobile-and-web-development
Introdução ao Desenvolvimento de Aplicativos Android,Universidade Estadual de Campinas,course,https://www.coursera.org/learn/introducao-aplicativos-android,computer-science/mobile-and-web-development
Device-based Models with TensorFlow Lite,deeplearning.ai,course,https://www.coursera.org/learn/device-based-models-tensorflow,computer-science/mobile-and-web-development
Building Database Applications in PHP,University of Michigan,course,https://www.coursera.org/learn/database-applications-php,computer-science/mobile-and-web-development
Software Architecture,University of Alberta,course,https://www.coursera.org/learn/software-architecture,computer-science/mobile-and-web-development
iOS App Development with Swift,University of Toronto,specialization,https://www.coursera.org/specializations/app-development,computer-science/mobile-and-web-development
Service-Oriented Architecture,University of Alberta,course,https://www.coursera.org/learn/service-oriented-architecture,computer-science/mobile-and-web-development
Single Page Web Applications with AngularJS,Johns Hopkins University,course,https://www.coursera.org/learn/single-page-web-apps-with-angularjs,computer-science/mobile-and-web-development
Programando con Java para aplicaciones Android,Universidad Nacional Autónoma de México,course,https://www.coursera.org/learn/programandoconjava,computer-science/mobile-and-web-development
Introduction to Programming in Swift 5,LearnQuest,course,https://www.coursera.org/learn/swift-5-programming-introduction,computer-science/mobile-and-web-development
Unity XR: How to Build AR and VR Apps,Unity,specialization,https://www.coursera.org/specializations/unity-xr,computer-science/mobile-and-web-development
Responsive Web Design,University of London,course,https://www.coursera.org/learn/responsive-web-design,computer-science/mobile-and-web-development
IoT (Internet of Things) Wireless & Cloud Computing Emerging Technologies,Yonsei University,course,https://www.coursera.org/learn/iot-wireless-cloud-computing,computer-science/mobile-and-web-development
Web Application Development: Basic Concepts,University of New Mexico,course,https://www.coursera.org/learn/web-app,computer-science/mobile-and-web-development
"Android-разработка: основы, многопоточность, архитектура",Moscow Institute of Physics and Technology,specialization,https://www.coursera.org/specializations/android-developer,computer-science/mobile-and-web-development
Securing and Integrating Components of your Application,Google Cloud,course,https://www.coursera.org/learn/securing-integrating-components-app,computer-science/mobile-and-web-development
Data Pipelines with TensorFlow Data Services,deeplearning.ai,course,https://www.coursera.org/learn/data-pipelines-tensorflow,computer-science/mobile-and-web-development
Introduction To Swift Programming,University of Toronto,course,https://www.coursera.org/learn/swift-programming,computer-science/mobile-and-web-development
"App Deployment, Debugging, and Performance",Google Cloud,course,https://www.coursera.org/learn/app-deployment-debugging-performance,computer-science/mobile-and-web-development
"Introduction to XR: VR, AR, and MR Foundations",Unity,course,https://www.coursera.org/learn/xr-introduction,computer-science/mobile-and-web-development
Быстрый старт в разработке Android-приложений,Moscow Institute of Physics and Technology,course,https://www.coursera.org/learn/quick-start-to-android,computer-science/mobile-and-web-development
"Android App Components - Intents, Activities, and Broadcast Receivers",Vanderbilt University,course,https://www.coursera.org/learn/androidapps,computer-science/mobile-and-web-development
Advanced Deployment Scenarios with TensorFlow,deeplearning.ai,course,https://www.coursera.org/learn/advanced-deployment-scenarios-tensorflow,computer-science/mobile-and-web-development
"iOS-разработка: Swift, UI и многопоточность",Moscow Institute of Physics and Technology,specialization,https://www.coursera.org/specializations/ios-dev,computer-science/mobile-and-web-development
أساسيات مواقع الويب سريعة الاستجابة: البرمجة باستخدام HTML وCSS وJavaScript,University of London,course,https://www.coursera.org/learn/website-coding-ar,computer-science/mobile-and-web-development
Desarrollo de Aplicaciones Web: Conceptos Básicos,University of New Mexico,course,https://www.coursera.org/learn/aplicaciones-web,computer-science/mobile-and-web-development
iOS Development for Creative Entrepreneurs,"University of California, Irvine",specialization,https://www.coursera.org/specializations/ios-development,computer-science/mobile-and-web-development
"Programming Languages, Part B",University of Washington,course,https://www.coursera.org/learn/programming-languages-part-b,computer-science/mobile-and-web-development
Developing Applications with Google Cloud Platform 日本語版,Google Cloud,specialization,https://www.coursera.org/specializations/developing-apps-gcp-jp,computer-science/mobile-and-web-development
Advanced System Security Design,University of Colorado System,specialization,https://www.coursera.org/specializations/advanced-system-security-design,computer-science/mobile-and-web-development
